"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"50947-25272","TE","Eric","Eric Ebron","Ebron","6.650000095367432","4","5200","CLE@PIT","PIT","CLE","","","","",""
"50947-30403","WR","Chris","Chris Conley","Conley","5.1","5","5200","DET@JAC","JAC","DET","","","","",""
"50947-14187","WR","A.J.","A.J. Green","Green","3.779999923706055","5","5200","CIN@IND","CIN","IND","","","","",""
"50947-41936","WR","Anthony","Anthony Miller","Miller","7.1","5","5200","CHI@CAR","CHI","CAR","","","","",""
"50947-53390","WR","Zach","Zach Pascal","Pascal","5.279999923706055","5","5100","CIN@IND","IND","CIN","","","","",""
"50947-57543","RB","D'Ernest","D'Ernest Johnson","Johnson","3.5250000953674316","4","5100","CLE@PIT","CLE","PIT","","","","",""
"50947-52613","WR","Curtis","Curtis Samuel","Samuel","6.819999694824219","5","5100","CHI@CAR","CAR","CHI","Q","Knee","","",""
"50947-38301","TE","Darren","Darren Fells","Fells","5.6","5","5100","HOU@TEN","HOU","TEN","","","","",""
"50947-41426","RB","Phillip","Phillip Lindsay","Lindsay","4","1","5100","DEN@NE","DEN","NE","","","","",""
"50947-58041","RB","Mike","Mike Boone","Boone","1.899999976158142","1","5100","ATL@MIN","MIN","ATL","","","","",""
"50947-87787","RB","J.K.","J.K. Dobbins","Dobbins","7.280000305175781","5","5100","BAL@PHI","BAL","PHI","","","","",""
"50947-14257","WR","Randall","Randall Cobb","Cobb","8.3","5","5100","HOU@TEN","HOU","TEN","","","","",""
"50947-30678","WR","Damiere","Damiere Byrd","Byrd","6.224999904632568","4","5100","DEN@NE","NE","DEN","","","","",""
"50947-55335","TE","David","David Njoku","Njoku","6.800000190734863","2","5000","CLE@PIT","CLE","PIT","","","","",""
"50947-63625","RB","Nyheim","Nyheim Hines","Hines","8.2","5","5000","CIN@IND","IND","CIN","","","","",""
