,Name,Position,Team,Pass Yds,Pass TD,Pass INT,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Ret TD,Fumb TD,2PT,Fumb Lost,Points Total
223,Tevin Coleman,RB,SF,-,-,-,18,-,1,6,-,-,-,-,,3.40
224,Isaiah Ford,WR,MIA,-,-,-,-,-,2,13,-,-,-,-,,3.30
225,Rex Burkhead,RB,NE,-,-,-,32,-,-,-,-,-,-,-,,3.20
226,Jordan Reed,TE,SF,-,-,-,-,-,2,12,-,-,-,-,,3.20
227,Rob Gronkowski,TE,TB,-,-,-,-,-,2,11,-,-,-,-,,3.10
228,Michael Pittman,WR,IND,-,-,-,-,-,2,10,-,-,-,-,,3.00
229,Evan Engram,TE,NYG,-,-,-,-,-,2,9,-,-,-,-,,2.90
230,Leonard Fournette,RB,TB,-,-,-,5,-,1,14,-,-,-,-,,2.90
231,Mark Ingram,RB,BAL,-,-,-,29,-,-,-,-,-,-,-,,2.90
232,Patrick Laird,RB,MIA,-,-,-,-,-,2,9,-,-,-,-,,2.90
233,Will Dissly,TE,SEA,-,-,-,-,-,2,8,-,-,-,-,,2.80
234,Eric Ebron,TE,PIT,-,-,-,-,-,1,18,-,-,-,-,,2.80
235,DaeSean Hamilton,WR,DEN,-,-,-,-,-,1,18,-,-,-,-,,2.80
236,Josh Reynolds,WR,LA,-,-,-,-,-,1,17,-,-,-,-,,2.70
237,Freddie Swain,WR,SEA,-,-,-,-,-,1,17,-,-,-,-,,2.70
238,Trent Taylor,WR,SF,-,-,-,-,-,2,7,-,-,-,-,,2.70
239,Jalen Guyton,WR,LAC,-,-,-,-,-,1,16,-,-,-,-,,2.60
240,Chris Thompson,RB,JAX,-,-,-,-,-,2,6,-,-,-,-,,2.60
241,Anthony Firkser,TE,TEN,-,-,-,-,-,2,5,-,-,-,-,,2.50
242,Jalen Richard,RB,LV,-,-,-,-,-,1,15,-,-,-,-,,2.50
243,Wayne Gallman,RB,NYG,-,-,-,-,-,1,14,-,-,-,-,,2.40
244,Frank Gore,RB,NYJ,-,-,-,24,-,-,-,-,-,-,-,,2.40
245,Collin Johnson,WR,JAX,-,-,-,-,-,1,14,-,-,-,-,,2.40
246,Nick Boyle,TE,BAL,-,-,-,-,-,2,3,-,-,-,-,,2.30
247,Travis Homer,RB,SEA,-,-,-,-1,-,2,4,-,-,-,-,,2.30
248,Levine Toilolo,TE,NYG,-,-,-,-,-,1,13,-,-,-,-,,2.30
249,Matt Breida,RB,MIA,-,-,-,22,-,-,-,-,-,-,-,,2.20
250,Josiah Deguara,TE,GB,-,-,-,-,-,1,12,-,-,-,-,,2.20
251,Devin Duvernay,WR,BAL,-,-,-,-,-,1,12,-,-,-,-,,2.20
252,Royce Freeman,RB,DEN,-,-,-,-,-,1,12,-,-,-,-,,2.20
253,KhaDarel Hodge,WR,CLE,-,-,-,-,-,1,12,-,-,-,-,,2.20
254,Blake Jarwin,TE,DAL,-,-,-,-,-,1,12,-,-,-,-,,2.20
255,Dalton Schultz,TE,DAL,-,-,-,-,-,1,11,-,-,-,-,,2.10
256,Irv Smith,TE,MIN,-,-,-,-,-,1,11,-,-,-,-,,2.10
257,Virgil Green,TE,LAC,-,-,-,-,-,1,10,-,-,-,-,,2.00
258,Bryan Edwards,WR,LV,-,-,-,-,-,1,9,-,-,-,-,,1.90
