,team,opp,game_date,week_num,home_game,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_sacked,pass_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,fumbles
419,PIT,KC,2016-10-02,4,True,30.0,50.0,60.0,287.0,2.0,1.0,4.0,5.74,18.0,87.0,4,0.0,3.0
420,PIT,NYJ,2016-10-09,5,True,25.0,38.0,65.8,255.0,1.0,0.0,3.0,6.71,17.0,72.0,4,0.0,1.0
421,PIT,MIA,2016-10-16,6,False,24.0,32.0,75.0,252.0,0.0,0.0,0.0,7.88,36.0,222.0,6,3.0,0.0
422,PIT,NE,2016-10-23,7,True,19.0,26.0,73.1,222.0,2.0,0.0,0.0,8.54,29.0,140.0,5,2.0,2.0
423,PIT,BAL,2016-11-06,9,False,19.0,31.0,61.3,250.0,1.0,1.0,3.0,8.06,29.0,50.0,2,0.0,2.0
424,PIT,DAL,2016-11-13,10,True,22.0,32.0,68.8,319.0,2.0,0.0,2.0,9.97,25.0,127.0,5,2.0,1.0
425,PIT,CLE,2016-11-20,11,False,21.0,41.0,51.2,246.0,1.0,1.0,8.0,6.0,13.0,33.0,2,0.0,1.0
426,PIT,IND,2016-11-24,12,False,22.0,36.0,61.1,205.0,1.0,2.0,3.0,5.69,23.0,91.0,4,0.0,1.0
427,PIT,NYG,2016-12-04,13,True,24.0,39.0,61.5,195.0,2.0,2.0,2.0,5.0,14.0,56.0,4,0.0,0.0
428,PIT,BUF,2016-12-11,14,False,15.0,25.0,60.0,228.0,2.0,1.0,5.0,9.12,18.0,67.0,3,1.0,0.0
429,PIT,CIN,2016-12-18,15,False,16.0,27.0,59.3,157.0,0.0,1.0,1.0,5.81,28.0,76.0,3,2.0,0.0
430,PIT,BAL,2016-12-25,16,True,30.0,44.0,68.2,262.0,1.0,1.0,2.0,5.95,25.0,122.0,5,1.0,1.0
431,PIT,CLE,2017-01-01,17,True,29.0,40.0,72.5,232.0,2.0,1.0,4.0,5.8,33.0,231.0,7,1.0,3.0
432,SEA,MIA,2016-09-11,1,True,16.0,29.0,55.2,186.0,0.0,0.0,5.0,6.41,20.0,64.0,3,1.0,2.0
433,SEA,LAR,2016-09-18,2,False,18.0,30.0,60.0,239.0,0.0,0.0,3.0,7.97,25.0,64.0,2,0.0,0.0
434,SEA,SF,2016-09-25,3,True,14.0,25.0,56.0,119.0,0.0,1.0,0.0,4.76,31.0,135.0,4,2.0,1.0
435,SEA,NYJ,2016-10-02,4,False,23.0,41.0,56.1,261.0,1.0,3.0,4.0,6.37,20.0,58.0,3,0.0,1.0
436,SEA,ATL,2016-10-16,6,True,27.0,42.0,64.3,335.0,3.0,1.0,4.0,7.98,18.0,52.0,3,0.0,1.0
437,SEA,ARI,2016-10-23,7,False,29.0,49.0,59.2,342.0,0.0,0.0,4.0,6.98,37.0,132.0,3,0.0,1.0
438,SEA,NO,2016-10-30,8,False,27.0,35.0,77.1,265.0,1.0,0.0,2.0,7.57,35.0,123.0,3,1.0,1.0
439,SEA,BUF,2016-11-07,9,True,27.0,39.0,69.2,289.0,1.0,1.0,5.0,7.41,38.0,162.0,4,2.0,0.0
440,SEA,NE,2016-11-13,10,False,23.0,32.0,71.9,316.0,0.0,1.0,2.0,9.88,28.0,81.0,3,3.0,2.0
441,SEA,PHI,2016-11-20,11,True,23.0,45.0,51.1,218.0,2.0,2.0,2.0,4.84,26.0,113.0,4,0.0,1.0
442,SEA,TB,2016-11-27,12,False,21.0,28.0,75.0,220.0,2.0,1.0,0.0,7.86,35.0,118.0,3,0.0,2.0
443,SEA,CAR,2016-12-04,13,True,14.0,33.0,42.4,182.0,1.0,1.0,0.0,5.52,21.0,89.0,4,0.0,1.0
