,team,opp,game_date,week_num,home_game,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_sacked,pass_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,fumbles
143,DAL,WSH,2019-12-29,17,True,23.0,33.0,69.7,303.0,4.0,0.0,3.0,9.18,36.0,223.0,6,1.0,1.0
144,DEN,LV,2019-09-09,1,False,21.0,31.0,67.7,268.0,1.0,0.0,3.0,8.65,23.0,95.0,4,0.0,1.0
145,DEN,CHI,2019-09-15,2,True,35.0,50.0,70.0,292.0,1.0,1.0,2.0,5.84,24.0,90.0,3,0.0,0.0
146,DEN,GB,2019-09-22,3,False,20.0,29.0,69.0,213.0,0.0,1.0,6.0,7.34,38.0,149.0,4,2.0,2.0
147,DEN,JAX,2019-09-29,4,True,22.0,38.0,57.9,303.0,3.0,1.0,0.0,7.97,16.0,68.0,4,0.0,1.0
148,DEN,LAC,2019-10-06,5,False,14.0,20.0,70.0,182.0,1.0,1.0,3.0,9.1,32.0,191.0,6,1.0,2.0
149,DEN,TEN,2019-10-13,6,True,18.0,28.0,64.3,177.0,0.0,1.0,1.0,6.32,30.0,103.0,3,1.0,1.0
150,DEN,KC,2019-10-17,7,True,21.0,34.0,61.8,213.0,0.0,0.0,8.0,6.26,21.0,71.0,3,1.0,3.0
151,DEN,IND,2019-10-27,8,False,20.0,32.0,62.5,174.0,0.0,0.0,3.0,5.44,28.0,113.0,4,1.0,1.0
152,DEN,CLE,2019-11-03,9,True,12.0,20.0,60.0,193.0,2.0,0.0,3.0,9.65,20.0,127.0,6,1.0,1.0
153,DEN,MIN,2019-11-17,11,False,18.0,40.0,45.0,278.0,1.0,1.0,2.0,6.95,33.0,124.0,4,1.0,0.0
154,DEN,BUF,2019-11-24,12,False,10.0,25.0,40.0,82.0,0.0,1.0,4.0,3.28,17.0,85.0,4,0.0,0.0
155,DEN,LAC,2019-12-01,13,True,18.0,28.0,64.3,134.0,2.0,1.0,0.0,4.79,25.0,84.0,3,0.0,0.0
156,DEN,HOU,2019-12-08,14,False,22.0,27.0,81.5,309.0,3.0,1.0,1.0,11.44,27.0,90.0,3,1.0,0.0
157,DEN,KC,2019-12-15,15,False,18.0,40.0,45.0,208.0,0.0,1.0,2.0,5.2,15.0,52.0,3,0.0,1.0
158,DEN,DET,2019-12-22,16,True,26.0,34.0,76.5,198.0,1.0,0.0,0.0,5.82,33.0,150.0,4,2.0,1.0
159,DEN,LV,2019-12-29,17,True,17.0,28.0,60.7,177.0,1.0,0.0,2.0,6.32,27.0,70.0,2,0.0,4.0
160,DET,ARI,2019-09-08,1,False,27.0,45.0,60.0,385.0,3.0,0.0,3.0,8.56,32.0,116.0,3,0.0,2.0
