,Unnamed: 0,Name,Position,Team,Pass Yds,Pass TD,Pass INT,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Ret TD,Fumb TD,2PT,Fumb Lost,Points Total,Paddy
229,229,Evan Engram,TE,NYG,0,0,0,0,0,2,9,0,0,0,0,0.0,2.9,1.9
230,230,Leonard Fournette,RB,TB,0,0,0,5,0,1,14,0,0,0,0,0.0,2.9,2.4000000000000004
231,231,Mark Ingram,RB,BAL,0,0,0,29,0,0,0,0,0,0,0,0.0,2.9,2.9000000000000004
232,232,Patrick Laird,RB,MIA,0,0,0,0,0,2,9,0,0,0,0,0.0,2.9,1.9
233,233,Will Dissly,TE,SEA,0,0,0,0,0,2,8,0,0,0,0,0.0,2.8,1.8
234,234,Eric Ebron,TE,PIT,0,0,0,0,0,1,18,0,0,0,0,0.0,2.8,2.3
235,235,DaeSean Hamilton,WR,DEN,0,0,0,0,0,1,18,0,0,0,0,0.0,2.8,2.3
236,236,Josh Reynolds,WR,LA,0,0,0,0,0,1,17,0,0,0,0,0.0,2.7,2.2
237,237,Freddie Swain,WR,SEA,0,0,0,0,0,1,17,0,0,0,0,0.0,2.7,2.2
238,238,Trent Taylor,WR,SF,0,0,0,0,0,2,7,0,0,0,0,0.0,2.7,1.7000000000000002
239,239,Jalen Guyton,WR,LAC,0,0,0,0,0,1,16,0,0,0,0,0.0,2.6,2.1
240,240,Chris Thompson,RB,JAX,0,0,0,0,0,2,6,0,0,0,0,0.0,2.6,1.6
241,241,Anthony Firkser,TE,TEN,0,0,0,0,0,2,5,0,0,0,0,0.0,2.5,1.5
242,242,Jalen Richard,RB,LV,0,0,0,0,0,1,15,0,0,0,0,0.0,2.5,2.0
243,243,Wayne Gallman,RB,NYG,0,0,0,0,0,1,14,0,0,0,0,0.0,2.4,1.9000000000000001
244,244,Frank Gore,RB,NYJ,0,0,0,24,0,0,0,0,0,0,0,0.0,2.4,2.4000000000000004
245,245,Collin Johnson,WR,JAX,0,0,0,0,0,1,14,0,0,0,0,0.0,2.4,1.9000000000000001
246,246,Nick Boyle,TE,BAL,0,0,0,0,0,2,3,0,0,0,0,0.0,2.3,1.3
247,247,Travis Homer,RB,SEA,0,0,0,-1,0,2,4,0,0,0,0,0.0,2.3,1.3
248,248,Levine Toilolo,TE,NYG,0,0,0,0,0,1,13,0,0,0,0,0.0,2.3,1.8
249,249,Matt Breida,RB,MIA,0,0,0,22,0,0,0,0,0,0,0,0.0,2.2,2.2
