,Unnamed: 0,Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST,2PT,RET TD,Paddy
89,354,Curtis Samuel,CAR,WR,0.0,10/25/2020,@Saints,L 24 - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,1.0,6.0,48.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,14.3
91,315,D'Andre Swift,DET,RB,0.0,10/25/2020,@Falcons,W 23 - 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,3.0,13.0,1.0,4.0,21.0,5.3,14.0,0.0,0.0,0.0,0.0,0.0,12.799999999999999
92,202,D'Ernest Johnson,CLE,RB,0.0,10/25/2020,@Bengals,W 37 - 34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
93,244,D.J. Moore,CAR,WR,0.0,10/25/2020,@Saints,L 24 - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,93.0,23.3,74.0,2.0,0.0,0.0,0.0,0.0,23.3
94,255,DK Metcalf,SEA,WR,0.0,10/26/2020,@Cardinals,L 34 - 37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,11.5,17.0,0.0,0.0,0.0,0.0,0.0,3.3000000000000003
95,186,DaeSean Hamilton,DEN,WR,0.0,10/25/2020,Chiefs,L 16 - 43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,3.6
96,226,Dalton Keene,NE,TE,0.0,10/25/2020,49ers,L 6 - 33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.3
97,347,Dalton Schultz,DAL,TE,0.0,10/25/2020,@Football Team,L 3 - 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,3.2
98,183,Damien Harris,NE,RB,0.0,10/25/2020,49ers,L 6 - 33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,58.0,5.8,12.0,0.0,1.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,7.500000000000001
99,13,Damiere Byrd,NE,WR,0.0,10/25/2020,49ers,L 6 - 33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,2.1
100,1,Dan Arnold,ARI,TE,0.0,10/26/2020,Seahawks,W 37 - 34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,57.0,28.5,41.0,0.0,0.0,0.0,0.0,0.0,6.7
102,197,Daniel Jones,NYG,QB,0.0,10/23/2020,@Eagles,L 21 - 22,20.0,30.0,187.0,6.2,2.0,1.0,3.0,22.0,91.9,4.0,92.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.68
103,4,Danny Amendola,DET,WR,0.0,10/25/2020,@Falcons,W 23 - 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,62.0,20.7,36.0,0.0,0.0,0.0,0.0,0.0,7.7
105,338,Darius Slayton,NYG,WR,0.0,10/23/2020,@Eagles,L 21 - 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,11.5,12.0,0.0,0.0,0.0,0.0,0.0,3.3000000000000003
106,246,Darnell Mooney,CHI,WR,0.0,10/27/2020,@Rams,L 10 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,13.3,19.0,0.0,0.0,0.0,0.0,0.0,5.5
108,90,Darrell Daniels,ARI,TE,0.0,10/26/2020,Seahawks,W 37 - 34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,175,Darrell Henderson,LAR,RB,0.0,10/27/2020,Bears,W 24 - 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,63.0,4.2,11.0,0.0,2.0,13.0,6.5,11.0,0.0,0.0,0.0,0.0,0.0,8.600000000000001
111,410,Darren Waller,LV,TE,0.0,10/25/2020,Buccaneers,L 20 - 45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,50.0,8.3,14.0,1.0,0.0,0.0,0.0,0.0,14.0
112,343,Darrius Shepherd,GB,WR,0.0,10/25/2020,@Texans,W 35 - 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,12,Davante Adams,GB,WR,0.0,10/25/2020,@Texans,W 35 - 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,196.0,15.1,45.0,2.0,0.0,0.0,0.0,0.0,38.1
116,203,David Johnson,HOU,RB,0.0,10/25/2020,Packers,L 20 - 35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,42.0,3.0,13.0,0.0,4.0,42.0,10.5,16.0,1.0,1.0,1.0,0.0,0.0,14.399999999999999
117,247,David Montgomery,CHI,RB,0.0,10/27/2020,@Rams,L 10 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,48.0,3.4,11.0,0.0,5.0,21.0,4.2,7.0,0.0,0.0,0.0,0.0,0.0,9.4
118,245,David Moore,SEA,WR,0.0,10/26/2020,@Cardinals,L 34 - 37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,0.0,3.0,54.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,7.300000000000001
119,273,David Njoku,CLE,TE,0.0,10/25/2020,@Bengals,W 37 - 34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,10.0,16.0,1.0,0.0,0.0,0.0,0.0,9.0
121,156,DeAndre Hopkins,ARI,WR,0.0,10/26/2020,Seahawks,W 37 - 34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,103.0,10.3,35.0,1.0,1.0,1.0,0.0,0.0,19.3
