,Name,max,min,mean,std,D Pass Yds/Game,D Pass Yds/Att,D Pass TDs/Game,D Rush Yds/Game,D Rush YPC,D Rush TDs/Game
0,Dalvin Cook,47.6,13.2,25.04,12.35,224.56,7.2,2.33,157.0,5.0,1.22
1,Alexander Mattison,15.1,0.4,5.47,4.88,224.56,7.2,2.33,157.0,5.0,1.22
2,Clyde Edwards-Helaire,19.8,4.6,12.56,4.87,264.89,7.3,1.56,112.67,4.4,1.44
3,Le'Veon Bell,7.2,0.8,4.56,2.41,264.89,7.3,1.56,112.67,4.4,1.44
4,Darrel Williams,10.6,0.2,3.06,3.28,264.89,7.3,1.56,112.67,4.4,1.44
5,Darwin Thompson,2.1,-0.9,0.8,1.37,264.89,7.3,1.56,112.67,4.4,1.44
6,Derrick Henry,39.4,6.8,17.42,10.05,213.33,6.5,1.33,109.67,4.5,0.78
7,Jeremy McNichols,7.2,0.0,2.5,2.51,213.33,6.5,1.33,109.67,4.5,0.78
8,Khari Blasingame,1.8,0.0,0.95,0.74,213.33,6.5,1.33,109.67,4.5,0.78
9,Melvin Gordon,24.8,3.2,10.82,7.16,243.78,7.3,1.44,128.11,4.7,1.22
10,Phillip Lindsay,15.1,0.2,6.6,5.52,243.78,7.3,1.44,128.11,4.7,1.22
11,Royce Freeman,4.5,1.7,2.81,1.05,243.78,7.3,1.44,128.11,4.7,1.22
12,Kenyan Drake,28.4,3.5,11.38,7.72,343.7,8.0,1.8,91.2,3.6,1.5
13,Chase Edmonds,18.0,2.8,10.03,5.71,343.7,8.0,1.8,91.2,3.6,1.5
14,Mike Davis,25.4,6.1,12.56,7.09,258.44,7.6,1.89,141.56,4.7,1.78
15,Jonathan Taylor,18.0,4.1,10.68,4.62,225.11,7.6,1.56,110.78,4.6,1.22
16,Nyheim Hines,26.0,0.9,10.74,9.5,225.11,7.6,1.56,110.78,4.6,1.22
17,Jordan Wilkins,17.8,-0.1,4.75,5.62,225.11,7.6,1.56,110.78,4.6,1.22
18,Frank Gore,9.0,2.4,5.27,2.24,232.33,6.8,2.0,117.44,4.7,0.89
19,La'Mical Perine,12.6,1.5,4.69,3.74,232.33,6.8,2.0,117.44,4.7,0.89
20,James White,11.3,0.8,5.56,3.84,241.67,7.8,2.0,167.44,5.2,1.33
21,Damien Harris,16.2,3.8,9.45,4.34,241.67,7.8,2.0,167.44,5.2,1.33
22,Rex Burkhead,31.3,1.4,10.32,9.93,241.67,7.8,2.0,167.44,5.2,1.33
23,Kalen Ballage,15.4,2.1,8.12,5.91,281.78,8.1,1.78,120.89,4.1,1.33
24,Joshua Kelley,12.3,2.1,6.32,3.94,281.78,8.1,1.78,120.89,4.1,1.33
25,Gabe Nabers,6.9,0.0,3.28,3.26,281.78,8.1,1.78,120.89,4.1,1.33
26,Austin Ekeler,25.8,1.9,13.42,10.25,281.78,8.1,1.78,120.89,4.1,1.33
27,Justin Jackson,15.7,0.4,7.82,6.25,281.78,8.1,1.78,120.89,4.1,1.33
28,Josh Jacobs,33.9,4.6,15.82,9.79,215.67,6.6,1.22,138.44,4.8,1.0
29,Devontae Booker,20.8,1.0,7.39,6.54,215.67,6.6,1.22,138.44,4.8,1.0
30,Jalen Richard,8.6,2.0,3.66,2.22,215.67,6.6,1.22,138.44,4.8,1.0
31,Nick Chubb,25.8,4.3,15.46,10.16,211.78,7.0,1.44,133.0,4.4,1.56
32,Kareem Hunt,23.1,6.7,14.43,5.37,211.78,7.0,1.44,133.0,4.4,1.56
33,D'Ernest Johnson,9.5,0.1,2.68,3.65,211.78,7.0,1.44,133.0,4.4,1.56
34,Andy Janovich,1.8,0.0,0.68,0.78,211.78,7.0,1.44,133.0,4.4,1.56
35,James Robinson,27.9,7.5,14.81,6.43,211.33,7.0,1.67,106.78,4.3,0.56
36,Alvin Kamara,38.2,13.4,23.66,8.63,310.33,8.3,2.44,99.67,4.3,0.89
37,Latavius Murray,20.8,4.3,7.24,5.17,310.33,8.3,2.44,99.67,4.3,0.89
38,Michael Burton,1.8,0.1,0.82,0.82,310.33,8.3,2.44,99.67,4.3,0.89
39,Leonard Fournette,25.6,2.4,9.09,8.12,199.67,6.4,1.0,96.78,4.1,0.78
40,Ronald Jones,25.1,3.3,12.44,7.46,199.67,6.4,1.0,96.78,4.1,0.78
41,LeSean McCoy,4.6,0.7,2.2,1.71,199.67,6.4,1.0,96.78,4.1,0.78
42,Giovani Bernard,21.3,0.9,8.44,7.0,194.67,7.4,1.56,126.0,4.3,1.0
43,Samaje Perine,9.9,0.0,4.25,4.58,194.67,7.4,1.56,126.0,4.3,1.0
44,Joe Mixon,39.1,5.6,14.85,12.27,194.67,7.4,1.56,126.0,4.3,1.0
45,Cam Akers,6.1,1.3,4.38,1.95,223.7,7.0,1.7,76.6,3.3,0.8
46,Malcolm Brown,24.5,1.9,9.16,7.67,223.7,7.0,1.7,76.6,3.3,0.8
47,Darrell Henderson,20.3,0.6,10.73,7.02,223.7,7.0,1.7,76.6,3.3,0.8
48,Todd Gurley,23.0,6.1,14.2,5.78,231.44,7.1,2.22,76.78,3.3,0.56
49,Brian Hill,14.5,2.4,5.27,3.88,231.44,7.1,2.22,76.78,3.3,0.56
50,Ito Smith,4.2,0.0,1.7,1.59,231.44,7.1,2.22,76.78,3.3,0.56
51,Patrick Laird,2.1,0.7,1.65,0.64,231.22,6.9,1.56,128.78,4.4,1.11
52,Matt Breida,6.4,0.4,3.46,2.36,231.22,6.9,1.56,128.78,4.4,1.11
53,Myles Gaskin,17.6,7.7,11.93,3.39,231.22,6.9,1.56,128.78,4.4,1.11
0,Dalvin Cook,47.6,13.2,24.76,11.58,245.45,6.9,1.45,116.82,4.6,1.27
1,Alexander Mattison,15.1,0.4,4.98,4.85,245.45,6.9,1.45,116.82,4.6,1.27
2,Clyde Edwards-Helaire,20.2,4.6,13.32,5.19,237.55,7.0,1.82,73.0,3.2,0.73
3,Le'Veon Bell,10.1,0.8,5.48,3.12,237.55,7.0,1.82,73.0,3.2,0.73
4,Darrel Williams,10.6,0.2,3.13,3.07,237.55,7.0,1.82,73.0,3.2,0.73
5,Darwin Thompson,2.1,-0.9,0.8,1.37,237.55,7.0,1.82,73.0,3.2,0.73
6,Derrick Henry,39.4,6.8,17.65,9.5,208.9,6.9,1.4,89.2,3.5,0.8
7,Jeremy McNichols,7.2,0.0,2.32,2.43,208.9,6.9,1.4,89.2,3.5,0.8
8,D'Onta Foreman,8.8,0.1,3.42,3.89,208.9,6.9,1.4,89.2,3.5,0.8
9,Khari Blasingame,1.8,0.0,0.95,0.74,208.9,6.9,1.4,89.2,3.5,0.8
10,Melvin Gordon,24.8,3.2,11.67,7.16,227.9,7.0,2.0,74.3,3.3,0.5
11,Phillip Lindsay,15.1,0.2,6.83,5.08,227.9,7.0,2.0,74.3,3.3,0.5
12,Royce Freeman,4.5,1.7,2.81,1.05,227.9,7.0,2.0,74.3,3.3,0.5
13,Kenyan Drake,28.4,3.5,11.67,7.28,236.1,8.7,1.6,121.8,4.3,0.9
14,Chase Edmonds,18.0,2.8,10.32,5.46,236.1,8.7,1.6,121.8,4.3,0.9
15,Mike Davis,25.4,6.1,12.79,6.72,260.7,7.5,2.2,122.1,4.3,0.6
16,Jonathan Taylor,18.0,4.1,10.95,4.44,267.4,7.0,2.1,121.5,4.4,1.0
17,Nyheim Hines,26.0,0.9,10.15,9.16,267.4,7.0,2.1,121.5,4.4,1.0
18,Jordan Wilkins,17.8,-0.1,4.68,5.26,267.4,7.0,2.1,121.5,4.4,1.0
19,Frank Gore,14.1,2.4,6.15,3.5,246.4,7.4,1.3,134.2,4.8,1.3
20,La'Mical Perine,12.6,1.5,5.26,3.83,246.4,7.4,1.3,134.2,4.8,1.3
21,Ty Johnson,4.2,0.0,2.62,1.87,246.4,7.4,1.3,134.2,4.8,1.3
22,James White,11.3,0.8,6.28,4.09,243.0,6.9,1.9,124.7,4.6,0.6
23,Damien Harris,16.2,3.8,9.8,4.07,243.0,6.9,1.9,124.7,4.6,0.6
24,Rex Burkhead,31.3,1.4,9.51,9.7,243.0,6.9,1.9,124.7,4.6,0.6
25,Kalen Ballage,15.4,2.1,8.53,5.38,238.7,7.6,1.5,135.0,4.8,1.5
26,Joshua Kelley,12.3,1.2,5.81,4.05,238.7,7.6,1.5,135.0,4.8,1.5
27,Gabe Nabers,6.9,0.0,3.28,3.26,238.7,7.6,1.5,135.0,4.8,1.5
