,Player Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST
135,John Lovett,Green Bay Packers,TE,,10/25/2020,@Texans,W 35 - 20,,,,,,,,,,,,,,,,,,,,
176,John Ross,Cincinnati Bengals,WR,,10/25/2020,Browns,L 34 - 37,,,,,,,,,,,,,,,,,,,,
197,Jonnu Smith,Tennessee Titans,TE,,10/25/2020,Steelers,L 24 - 27,,,,,,,,,,0,,,,,1,9,9,9,,
5,Jordan Akins,Houston Texans,TE,,10/25/2020,Packers,L 20 - 35,,,,,,,,,,,,,,,,,,,,
136,Jordan Love,Green Bay Packers,QB,,10/25/2020,@Texans,W 35 - 20,,,,,,,,,,,,,,,,,,,,
4,Josh Allen,Buffalo Bills,QB,,10/25/2020,@Jets,W 18 - 10,30,43,307,7.1,0,0,2,11,90,11,61,5.5,,0,,,,,1,1
104,Josh Hill,New Orleans Saints,TE,,10/25/2020,Panthers,W 27 - 24,,,,,,,,,,0,,,,,1,0,0,0,,
54,Joshua Dobbs,Pittsburgh Steelers,QB,,10/25/2020,@Titans,W 27 - 24,,,,,,,,,,,,,,,,,,,,
194,JuJu Smith-Schuster,Pittsburgh Steelers,WR,,10/25/2020,@Titans,W 27 - 24,,,,,,,,,,0,,,,,9,85,9.4,28,,
117,Julio Jones,Atlanta Falcons,WR,,10/25/2020,Lions,L 22 - 23,,,,,,,,,,0,,,,,8,97,12.1,28,,
122,Juwan Johnson,New Orleans Saints,WR,,10/25/2020,Panthers,W 27 - 24,,,,,,,,,,,,,,,,,,,,
201,Kaden Smith,New York Giants,TE,,10/23/2020,@Eagles,L 21 - 22,,,,,,,,,,,,,,,,,,,,
183,Kalif Raymond,Tennessee Titans,WR,,10/25/2020,Steelers,L 24 - 27,,,,,,,,,,,,,,,,,,,,
97,Kareem Hunt,Cleveland Browns,RB,,10/25/2020,@Bengals,W 37 - 34,,,,,,,,,,18,76,4.2,15,0,3,26,8.7,,,1
37,Keke Coutee,Houston Texans,WR,,10/25/2020,Packers,L 20 - 35,,,,,,,,,,,,,,,,,,,,
85,Kenny Golladay,Detroit Lions,WR,,10/25/2020,@Falcons,W 23 - 22,,,,,,,,,,0,,,,,6,114,19,29,,
188,Kenny Stills,Houston Texans,WR,,10/25/2020,Packers,L 20 - 35,,,,,,,,,,0,,,,,2,34,17,18,,
121,Kerryon Johnson,Detroit Lions,RB,,10/25/2020,@Falcons,W 23 - 22,,,,,,,,,,,,,,,,,,,,
24,Khari Blasingame,Tennessee Titans,RB,,10/25/2020,Steelers,L 24 - 27,,,,,,,,,,,,,,,,,,,,
3,Kyle Allen,Washington Football Team,QB,,10/25/2020,Cowboys,W 25 - 3,15,25,194,7.8,2,0,2,5,111.1,4,11,2.8,,0,,,,,,
171,La'Mical Perine,New York Jets,RB,,10/25/2020,Bills,L 10 - 18,,,,,,,,,,11,39,3.5,20,1,2,16,8,,,0
141,Latavius Murray,New Orleans Saints,RB,,10/25/2020,Panthers,W 27 - 24,,,,,,,,,,11,47,4.3,25,0,1,9,9,,,0
220,Levine Toilolo,New York Giants,TE,,10/23/2020,@Eagles,L 21 - 22,,,,,,,,,,,,,,,,,,,,
224,Logan Thomas,Washington Football Team,TE,,10/25/2020,Cowboys,W 25 - 3,,,,,,,,,,1,,,,,4,60,15,26,,
233,Logan Woodside,Tennessee Titans,QB,,10/25/2020,Steelers,L 24 - 27,,,,,,,,,,,,,,,,,,,,
187,Luke Stocker,Atlanta Falcons,TE,,10/25/2020,Lions,L 22 - 23,,,,,,,,,,0,,,,,0,0,,,,
227,Malik Taylor,Green Bay Packers,WR,,10/25/2020,@Texans,W 35 - 20,,,,,,,,,,1,,,,,2,6,3,5,,
216,Malik Turner,Dallas Cowboys,WR,,10/25/2020,@Football Team,L 3 - 25,,,,,,,,,,,,,,,,,,,,
137,Marcedes Lewis,Green Bay Packers,TE,,10/25/2020,@Texans,W 35 - 20,,,,,,,,,,0,,,,,1,9,9,9,,
147,Marken Michel,Carolina Panthers,WR,,10/25/2020,@Saints,L 24 - 27,,,,,,,,,,,,,,,,,,,,
52,Marquez Callaway,New Orleans Saints,WR,,10/25/2020,Panthers,W 27 - 24,,,,,,,,,,0,,,,,8,75,9.4,15,,
231,Marquez Valdes-Scantling,Green Bay Packers,WR,,10/25/2020,@Texans,W 35 - 20,,,,,,,,,,0,1,9,9,9,0,0,,,0,
114,Marvin Hall,Detroit Lions,WR,,10/25/2020,@Falcons,W 23 - 22,,,,,,,,,,0,,,,,0,0,,,,
118,Marvin Jones,Detroit Lions,WR,,10/25/2020,@Falcons,W 23 - 22,,,,,,,,,,0,,,,,5,80,16,23,,
175,Mason Rudolph,Pittsburgh Steelers,QB,,10/25/2020,@Titans,W 27 - 24,,,,,,,,,,,,,,,,,,,,
209,Mason Schreck,Cincinnati Bengals,TE,,10/25/2020,Browns,L 34 - 37,,,,,,,,,,,,,,,,,,,,
31,Matt Barkley,Buffalo Bills,QB,,10/25/2020,@Jets,W 18 - 10,,,,,,,,,,,,,,,,,,,,
174,Matt Ryan,Atlanta Falcons,QB,,10/25/2020,Lions,L 22 - 23,31,42,338,8,1,0,2,16,105.1,,,,,,,,,,1,1
210,Matt Schaub,Atlanta Falcons,QB,,10/25/2020,Lions,L 22 - 23,,,,,,,,,,,,,,,,,,,,
191,Matthew Stafford,Detroit Lions,QB,,10/25/2020,@Falcons,W 23 - 22,25,36,340,9.4,1,0,2,18,108.6,1,8,8,,0,,,,,,
9,Michael Burton,New Orleans Saints,RB,,10/25/2020,Panthers,W 27 - 24,,,,,,,,,,,,,,,,,,,,
91,Michael Gallup,Dallas Cowboys,WR,,10/25/2020,@Football Team,L 3 - 25,,,,,,,,,,0,,,,,0,0,,,,
223,Michael Thomas,New Orleans Saints,WR,,10/25/2020,Panthers,W 27 - 24,,,,,,,,,,,,,,,,,,,,
58,Mike Davis,Carolina Panthers,RB,,10/25/2020,@Saints,L 24 - 27,,,,,,,,,,7,12,1.7,7,0,5,24,4.8,,,0
222,Mike Thomas,Cincinnati Bengals,WR,,10/25/2020,Browns,L 34 - 37,,,,,,,,,,0,,,,,2,54,27,29,,
212,Miles Sanders,Philadelphia Eagles,RB,,10/23/2020,Giants,W 22 - 21,,,,,,,,,,,,,,,,,,,,
164,MyCole Pruitt,Tennessee Titans,TE,,10/25/2020,Steelers,L 24 - 27,,,,,,,,,,,,,,,,,,,,
186,Nate Sudfeld,Philadelphia Eagles,QB,,10/23/2020,Giants,W 22 - 21,,,,,,,,,,,,,,,,,,,,
240,Nick Westbrook,Tennessee Titans,WR,,10/25/2020,Steelers,L 24 - 27,,,,,,,,,,,,,,,,,,,,
14,Noah Brown,Dallas Cowboys,WR,,10/25/2020,@Football Team,L 3 - 25,,,,,,,,,,,,,,,,,,,,
29,Odell Beckham Jr.,Cleveland Browns,WR,,10/25/2020,@Bengals,W 37 - 34,,,,,,,,,,0,,,,,0,0,,,,
251,Olamide Zaccheaus,Atlanta Falcons,WR,,10/25/2020,Lions,L 22 - 23,,,,,,,,,,,1,0,0,0,,,,,0,
