,Name,Team,Position,Salary
887,Patrick Ricard,BAL,RB,4500.0
676,Jordan Glasgow,IND,RB,4500.0
714,Ja'Marcus Bradley,CLE,WR,4500.0
715,LeVante Bellamy,DEN,RB,4500.0
891,Rashard Davis,TEN,WR,4500.0
710,Cameron Scarlett,TEN,RB,4500.0
854,Anthony Johnson,PIT,WR,4500.0
892,Brandon Zylstra,CAR,WR,4500.0
705,Dexter Williams,GB,RB,4500.0
860,Binjimen Victor,NYG,WR,4500.0
695,Scotty Washington,CIN,WR,4500.0
776,Darius Anderson,IND,RB,4500.0
868,Matthew Slater,NE,WR,4500.0
859,Tony Jones,NO,RB,4500.0
697,Darrell Stewart,CAR,WR,4500.0
687,Olamide Zaccheaus,ATL,WR,4500.0
685,Dan Chisena,MIN,WR,4500.0
684,Saquon Barkley,NYG,RB,4500.0
874,Chad Williams,KC,WR,4500.0
875,Tarik Cohen,CHI,RB,4500.0
855,Aleva Hifo,KC,WR,4500.0
683,Nick Westbrook-Ikhine,TEN,WR,4500.0
702,Brandon Polk,LAR,WR,4500.0
704,Chris Finke,SF,WR,4500.0
716,Francis Bernard,DAL,RB,4500.0
674,Karan Higdon,HOU,RB,4500.0
648,Aca'Cedric Ware,TB,RB,4500.0
841,Gabe Nabers,LAC,RB,4500.0
838,Antoine Wesley,BAL,WR,4500.0
657,Alec Ingold,LV,RB,4500.0
655,Lawrence Cager,NYJ,WR,4500.0
917,Michael Warren,WSH,RB,4500.0
837,Raymond Calais,LAR,RB,4500.0
836,Malcolm Perry,MIA,WR,4500.0
737,DeSean Jackson,PHI,WR,4500.0
832,Joe Reed,LAC,WR,4500.0
924,Ahmad Wagner,CHI,WR,4500.0
829,Sean Riley,NE,WR,4500.0
863,Rashad Medaris,ARI,WR,4500.0
651,Jared Pinkney,ATL,WR,4500.0
743,Austin Mack,NYG,WR,4500.0
744,Antonio Williams,BUF,RB,4500.0
929,JoJo Ward,ARI,WR,4500.0
730,Ted Ginn,CHI,WR,4500.0
915,Dominique Dafney,GB,WR,4500.0
673,Hakeem Butler,PHI,WR,4500.0
662,KJ Osborn,MIN,WR,4500.0
896,Justin Watson,TB,WR,4500.0
897,Daurice Fountain,IND,WR,4500.0
