,Unnamed: 0,Name,Team,Position,Salary
516,163,Amara Darboh,PIT,WR,4500.0
517,159,Cody Latimer,WSH,WR,4500.0
518,157,Jake Kumerow,BUF,WR,4500.0
519,153,Damien Williams,KC,RB,4500.0
520,150,Andy Janovich,CLE,RB,4500.0
521,149,Ameer Abdullah,MIN,RB,4500.0
522,148,Marcus Murphy,CAR,RB,4500.0
523,228,Gehrig Dieter,KC,WR,4500.0
524,231,Marquise Goodwin,PHI,WR,4500.0
525,145,Trey Edmunds,PIT,RB,4500.0
526,277,Shelton Gibson,WSH,WR,4500.0
527,308,Dalyn Dawkins,TEN,RB,4500.0
528,306,Laquon Treadwell,ATL,WR,4500.0
529,305,Chris Thompson,SF,WR,4500.0
530,297,Khalfani Muhammad,DEN,RB,4500.0
531,296,Trevor Davis,CHI,WR,4500.0
532,295,Andre Patton,ARI,WR,4500.0
533,293,Ralph Webb,PIT,RB,4500.0
534,292,Pharoh Cooper,CAR,WR,4500.0
535,291,J'Mon Moore,CLE,WR,4500.0
536,290,Peyton Barber,WSH,RB,4500.0
537,289,Corey Clement,PHI,RB,4500.0
538,286,Jester Weah,WSH,WR,4500.0
539,276,Elijah Wellman,GB,RB,4500.0
540,233,Josh Doctson,NYJ,WR,4500.0
541,275,Ishmael Hyman,CAR,WR,4500.0
542,273,Steven Mitchell Jr.,HOU,WR,4500.0
543,266,Kyle Juszczyk,SF,RB,4500.0
544,257,Ryan Switzer,CLE,WR,4500.0
545,255,T.J. Logan,TB,RB,4500.0
546,253,Wendell Smallwood,PIT,RB,4500.0
547,247,Geremy Davis,DET,WR,4500.0
548,244,Tyler Eifert,JAC,TE,4500.0
549,243,C.J. Prosise,HOU,RB,4500.0
550,241,Senorise Perry,TEN,RB,4500.0
551,237,Chris Moore,BAL,WR,4500.0
552,234,DeAndre Washington,KC,RB,4500.0
553,146,Tavon Austin,SF,WR,4500.0
554,142,Tyler Kroft,BUF,TE,4500.0
555,312,Johnny Holton,NYG,WR,4500.0
556,19,Gunner Olszewski,NE,WR,4500.0
557,63,Marvelle Ross,JAC,WR,4500.0
558,62,Zimari Manning,DEN,WR,4500.0
559,61,Matt Cole,MIA,WR,4500.0
560,60,Mason Kinsey,NE,WR,4500.0
561,59,Kristian Wilkerson,NE,WR,4500.0
562,58,Isaiah Coulter,HOU,WR,4500.0
563,55,Josh Pearson,TB,WR,4500.0
564,54,John Hurst,TB,WR,4500.0
565,46,Pittsburgh Steelers,PIT,DST,4500.0
