,Unnamed: 0,Unnamed: 0.1,Name,Team,Position,Salary
493,493,492,Damion Ratley,HOU,WR,4500.0
494,494,247,Josh Doctson,NYJ,WR,4500.0
495,495,69,Zimari Manning,DEN,WR,4500.0
496,496,269,Wendell Smallwood,PIT,RB,4500.0
497,497,266,Dwayne Washington,NO,RB,4500.0
498,498,70,Marvelle Ross,JAC,WR,4500.0
499,499,262,Geremy Davis,DET,WR,4500.0
500,500,259,Jalen Richard,LV,RB,4500.0
501,501,258,Tyler Eifert,JAC,TE,4500.0
502,502,257,CJ Prosise,HOU,RB,4500.0
503,503,255,Senorise Perry,TEN,RB,4500.0
504,504,251,Chris Moore,BAL,WR,4500.0
505,505,248,DeAndre Washington,KC,RB,4500.0
506,506,244,Gehrig Dieter,KC,WR,4500.0
507,507,335,Kenneth Dixon,NYJ,RB,4500.0
508,508,73,Devin Phelps,ARI,WR,4500.0
509,509,240,Corey Coleman,NYG,WR,4500.0
510,510,238,Fred Brown,DEN,WR,4500.0
511,511,237,Donte Moncrief,NE,WR,4500.0
512,512,490,Blake Lynch,MIN,WR,4500.0
513,513,236,Cody Core,NYG,WR,4500.0
514,514,235,Jeremy Hill,LV,RB,4500.0
515,515,234,Jonathan Williams,DET,RB,4500.0
516,516,74,Shane Leatherbury,ARI,WR,4500.0
517,517,232,TJ Yeldon,BUF,RB,4500.0
518,518,230,DeAndrew White,BAL,WR,4500.0
519,519,271,TJ Logan,TB,RB,4500.0
520,520,68,Matt Cole,MIA,WR,4500.0
521,521,67,Mason Kinsey,NE,WR,4500.0
522,522,281,Kyle Juszczyk,SF,RB,4500.0
523,523,332,Robert Foster,WSH,WR,4500.0
524,524,328,River Cracraft,SF,WR,4500.0
525,525,327,Victor Bolden,DET,WR,4500.0
526,526,325,Johnny Holton,NYG,WR,4500.0
527,527,324,Quincy Adeboyejo,NE,WR,4500.0
