,Name,Team,Opp,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Avg Points,Avg Points (3 weeks),Salary,Injury,Predicted
128,Deonte Harris,NO,DEN,3.1,4.9,1.5,2.5,,,12.6,3.2,4.5,2.4,3.0,4.2,3.3,4800,Q,3.55
160,Andy Isabella,ARI,NE,,7.7,18.1,1.3,4.0,0.0,1.2,,2.0,1.9,1.1,4.1,1.7,4700,,3.53
305,Tyler Johnson,TB,KC,,,,,8.1,7.2,7.4,4.5,1.6,0.0,,4.8,2.0,4800,,3.51
302,Collin Johnson,JAX,CLE,1.9,0.0,0.8,,10.5,,,,1.4,,,2.9,4.2,4600,,3.47
290,Chris Hogan,NYJ,MIA,0.5,10.5,0.0,4.3,3.5,,,,,,,3.8,2.6,4500,IR,3.17
87,Van Jefferson,LAR,SF,3.6,6.4,0.0,0.0,,1.3,1.9,3.3,,2.0,7.2,2.9,4.2,4600,,3.11
201,Joe Reed,LAC,BUF,,0.8,,,,,7.4,,0.7,,,3.0,3.0,4600,,2.9
162,Jeff Smith,NYJ,MIA,,,,11.6,3.8,1.3,0.0,4.4,,,1.0,3.7,1.8,4500,,2.89
385,Mike Thomas,CIN,NYG,2.7,11.1,1.9,1.0,-0.8,1.5,6.4,,,0.0,,3.0,2.6,4500,D,2.84
109,Malcolm Perry,MIA,NYJ,,,,,,,,1.0,0.0,3.7,3.8,2.1,2.5,4500,,2.49
174,Brandon Powell,ATL,LV,,,4.2,,0.0,0.0,0.9,,7.8,,0.3,2.2,3.0,4500,,2.46
408,Brandon Zylstra,CAR,MIN,,,,,,,0.9,,3.3,,,2.1,2.1,4500,Q,2.38
304,KeeSean Johnson,ARI,NE,,,3.4,,1.0,,,,,,,2.2,2.2,4500,,2.3
120,Cameron Batson,TEN,IND,,4.7,,,,1.8,,,1.1,1.8,3.5,2.6,2.1,,,2.15
311,Keith Kirkwood,CAR,MIN,,,,,,1.8,,,,,,1.8,1.8,4500,IR,2.04
260,Ashton Dulin,IND,TEN,,1.1,0.0,,4.2,,,1.8,,,,1.8,2.0,4500,IR,2.03
145,Antonio Callaway,MIA,NYJ,,,,,,,,,,,1.8,1.8,1.8,,,2.02
178,Chad Beebe,MIN,CAR,,,1.2,,1.6,2.3,,2.1,,2.6,,2.0,2.3,4500,,1.94
269,Bennie Fowler,NO,DEN,,,,,2.1,,,,,,,2.1,2.1,4500,IR,1.9
233,C.J. Board,NYG,CIN,2.7,4.7,1.4,0.3,,1.3,,,1.5,,,2.0,1.0,4500,,1.9
253,River Cracraft,SF,LAR,,,,,,,,,2.3,,,2.3,2.3,4500,,1.76
153,Bisi Johnson,MIN,CAR,7.1,2.9,,0.0,1.8,,,,,0.0,1.4,2.2,1.1,,,1.73
373,Vyncint Smith,NYJ,MIA,,,,,,,,1.8,,,,1.8,1.8,4500,,1.66
382,Trent Taylor,SF,LAR,1.7,2.0,2.5,0.0,,1.3,,4.7,1.4,,,1.9,2.5,4600,,1.59
354,John Ross,CIN,NYG,2.7,0.0,,,,,,,,,,1.4,1.4,4500,IR,1.38
364,Trent Sherfield,ARI,NE,,,,,1.1,,,,,,,1.1,1.1,4500,O,1.15
204,Diontae Spencer,DEN,NO,,,1.2,,,0.9,,,,,,1.0,1.1,4500,O,1.06
197,Gunner Olszewski,NE,ARI,,,,1.6,,,0.0,0.6,2.0,,,1.0,0.9,4500,,0.99
398,Dede Westbrook,JAX,CLE,,,0.9,,,,,,,,,0.9,0.9,4500,IR,0.95
185,Pharoh Cooper,CAR,MIN,,0.0,,,1.7,,,,,,,0.8,0.8,4500,,0.91
157,Nick Westbrook,TEN,IND,,,0.0,,1.2,,,,,0.0,1.2,0.6,0.8,,,0.58
353,Andre Roberts,BUF,LAC,,,,0.8,0.1,,,,,,,0.4,0.5,4500,,0.44
247,Tyrie Cleveland,DEN,NO,1.2,,,,,,0.0,,0.0,,,0.4,0.4,4500,,0.41
