,Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7
Ty Montgomery,NO,-0.4,3.5,,,,,
Chris Moore,BAL,,,,,,,
Foster Moreau,LV,,3.6,9.5,1.3,,,
James Morgan,NYJ,,,,,,,
Raheem Mostert,SF,23.1,17.7,,,13.4,8.6,
Nick Mullens,SF,,1.64,17.72,8.0,,,
Ryan Nall,CHI,,0.7,,,,,
JoJo Natson,CLE,,,0.3,,,,
Nick O'Leary,LV,,,,,,,
K.J. Osborn,MIN,,,,,,,
DeVante Parker,MIA,6.7,13.8,9.4,16.0,12.0,5.0,
Colby Parkinson,SEA,,,,,,,
Zach Pascal,IND,2.8,9.4,4.4,7.3,2.5,13.4,
Dezmon Patmon,IND,,,,,,,
Rashaad Penny,SEA,,,,,,,
Malcolm Perry,MIA,,,,,,,
Nathan Peterman,LV,,,,,,,
Dante Pettis,SF,0.0,,,,,,
Artavis Pierce,CHI,,,,,,,
Michael Pittman,IND,2.0,5.7,4.1,,,,
James Proche,BAL,,,,,,,
MyCole Pruitt,TEN,6.6,,2.6,,,,
Jordan Reed,SF,2.2,20.5,3.3,,,,
Patrick Ricard,BAL,,,,,,,
Riley Ridley,CHI,,,,,,,
Philip Rivers,IND,16.82,11.86,12.68,11.2,7.62,25.74,
John Ross,CIN,2.7,0.0,,,,,
Kyle Rudolph,MIN,3.8,0.0,8.1,3.7,1.5,6.2,
Mason Rudolph,PIT,,,,,,-0.06,
Brett Rypien,DEN,,,1.12,14.18,,,
Emmanuel Sanders,NO,9.0,2.3,13.6,12.3,18.2,,
Bo Scarbrough,DET,,,,,,,
Mason Schreck,CIN,,,,,,,
Ricky Seals-Jones,KC,,,,,,0.0,
Adam Shaheen,MIA,,0.9,,0.0,6.8,12.6,
Tajae Sharpe,MIN,0.0,,,,,,
Anthony Sherman,KC,0.2,,7.0,,,,
Matthew Slater,NE,,,,,,,
Geno Smith,SEA,,,,,,,
Irv Smith,MIN,1.6,0.8,,0.0,8.4,7.5,
Lee Smith,BUF,,,6.6,,,,
Durham Smythe,MIA,,,1.2,4.0,,6.9,
Willie Snead,BAL,14.4,3.9,1.4,3.0,0.0,3.7,
Diontae Spencer,DEN,,,1.2,,,0.9,
Equanimeous St. Brown,GB,,,,,,0.0,
Courtland Sutton,DEN,,8.1,,,,,
Tommy Sweeney,BUF,,,,,,,
Tua Tagovailoa,MIA,,,,,,0.36,
J.J. Taylor,NE,3.7,-0.1,4.3,,,,
Jonathan Taylor,IND,11.9,18.0,12.7,8.4,14.4,13.5,
Patrick Taylor,GB,,,,,,,
Taywan Taylor,CLE,,,,,,,
Tyrod Taylor,LAC,9.02,,,,,,
Adam Thielen,MIN,26.0,4.6,10.8,22.2,24.8,12.6,
Darwin Thompson,KC,,2.1,-0.9,,,1.7,
Noah Togiai,IND,,,0.0,,,,
Mitchell Trubisky,CHI,24.28,15.2,12.62,,,,
C.J. Uzomah,CIN,6.5,12.2,,,,,
Dwayne Washington,NO,,,,,,,
Sammy Watkins,KC,18.0,1.6,9.7,4.3,9.4,,
Derek Watt,PIT,,,,,,,
Antoine Wesley,BAL,,,,,,,
Nick Westbrook,TEN,,,0.0,,1.2,,
DeAndrew White,BAL,,,,,,,
Jordan Wilkins,IND,,4.0,5.0,3.6,0.1,-0.1,
Darrel Williams,KC,4.0,1.7,1.7,0.2,2.4,10.6,
Preston Williams,MIA,5.1,3.1,7.7,2.0,18.6,8.8,
Trayveon Williams,CIN,,,,,,,
Tyrell Williams,LV,,,,,,,
Luke Willson,SEA,,,,,,,
Jameis Winston,NO,,,,,,,
Charlie Woerner,SF,,,,,,,
John Wolford,LAR,,,,,,,
Logan Woodside,TEN,,,,,,,
Deon Yelder,KC,,,,1.0,,,
T.J. Yeldon,BUF,,,1.8,0.0,13.9,,
