,Name,Team,Opp,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Avg Points,Avg Points (3 weeks),Salary,Injury,Predicted
167,Jeremy McNichols,TEN,IND,0.0,0.7,1.0,,3.6,7.2,0.2,4.9,1.0,3.9,,2.5,,4700,,1.97
136,Rodney Smith,CAR,MIN,,,,,,,,,,2.0,,2.0,,4900,,1.77
271,Royce Freeman,DEN,NO,1.7,2.0,4.5,2.2,,3.5,2.2,,,3.6,,2.8,,4600,,1.76
332,Ty Montgomery,NO,DEN,-0.4,3.5,,,,,,,,,,1.6,,4600,,1.62
156,Patrick Laird,MIA,NYJ,1.9,,,,,0.7,,,2.1,1.9,,1.6,,4800,,1.61
235,Mike Boone,MIN,CAR,,,,,1.9,1.0,,,,,,1.4,,4600,,1.54
184,Trenton Cannon,CAR,MIN,,,,,-0.1,3.7,0.7,,,,,1.4,,4600,,1.24
395,Dwayne Washington,NO,DEN,,,,,,,,,0.9,,,0.9,,4500,Q,0.91
196,Dare Ogunbowale,JAX,CLE,,,,,,,,,,1.0,,1.0,,4500,,0.9
240,Michael Burton,NO,DEN,,,,1.2,0.2,,,0.1,1.8,,,0.8,,4500,,0.81
266,Darrynton Evans,TEN,IND,,,0.9,,1.2,,,,,,,1.0,,4600,,0.79
301,Andy Janovich,CLE,JAX,,0.5,1.8,,0.4,,,0.0,,,,0.7,,4500,,0.79
232,Khari Blasingame,TEN,IND,1.0,,,,,0.0,,1.0,,1.8,,1.0,,4500,,0.79
394,DeAndre Washington,MIA,NYJ,,,,,,,1.2,,,0.2,,0.7,,4500,,0.71
387,Darwin Thompson,KC,TB,,2.1,-0.9,,,1.7,,0.3,,,,0.8,,4500,,0.55
347,Elijhaa Penny,NYG,CIN,,,,,0.3,,,1.6,0.2,0.0,,0.5,,4500,,0.52
237,Lynn Bowden,MIA,NYJ,,0.4,,0.5,0.4,,,,,,,0.4,,4500,,0.4
328,Bruce Miller,JAX,CLE,0.7,0.0,,,,,,,,,,0.4,,4500,,0.36
344,Qadree Ollison,ATL,LV,,,,,,,,0.3,,,,0.3,,4600,,0.35
307,Taiwan Jones,BUF,LAC,,,,,0.0,,,,,,,0.0,,4500,Q,0.0
129,Devine Ozigbo,JAX,CLE,,,,,,,,,,,,,,4600,,
148,Alec Ingold,LV,ATL,,,,,,,,,,,,,,4500,,
165,Keith Smith,ATL,LV,,,,,,,,,,,,,,4500,,
177,Alex Armah,CAR,MIN,,,,,,,,,,,,,,4800,,
